id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
44175,1.208802,tcp,-,FIN,10,8,2530,354,14.063511,254,252,15069.46582,2051.618164,2,1,130.853333,157.317422,7408.719894,324.994687,255,1252241365,1379580197,255,0.191824,0.107577,0.084247,253,44,0,0,2,1,2,1,1,2,0,0,0,1,2,0,Normal,0
481,6.411868,tcp,http,FIN,8,10,1052,824,2.651333,31,29,1149.119141,925.783264,2,2,915.815821,712.364687,75375.73328,1985.4035,255,1432002375,3578480733,255,0.00075,0.000582,0.000168,132,82,1,83,8,0,9,8,1,2,0,0,1,14,6,0,Normal,0
17714,0.030629,tcp,smtp,FIN,52,42,37152,3380,3036.338141,31,29,9517255.0,861928.25,18,8,0.593902,0.734463,34.832946,1.46363,255,3390924689,3396102113,255,0.000636,0.000513,0.000123,714,80,0,0,2,0,4,1,1,3,0,0,0,5,1,0,Normal,0
12377,0.689954,tcp,ssh,FIN,32,24,3728,5474,79.715461,31,29,41881.05469,60827.24609,7,7,22.25658,29.961738,1421.471551,42.858836,255,1604418924,3750176560,255,0.000854,0.000697,0.000157,117,228,0,0,1,0,4,1,1,2,0,0,0,1,1,0,Normal,0
89238,8e-06,tcp,-,REQ,2,0,90,0,125000.0003,254,0,45000000.0,0.0,1,0,0.008,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,9,6,2,1,1,9,0,0,0,3,9,0,Normal,0
43859,0.957944,tcp,-,FIN,10,6,720,268,15.658536,254,252,5411.589844,1870.673096,2,1,106.321778,168.966594,5310.871774,263.127656,255,2245331766,3569408714,255,0.191339,0.113103,0.078236,72,45,0,0,4,1,1,1,1,4,0,0,0,2,4,0,Normal,0
108556,0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0
22584,0.004939,udp,-,CON,4,4,568,320,1417.290915,31,29,690018.1875,388742.6563,0,0,1.287,1.089,1.814436,1.534424,0,0,0,0,0.0,0.0,0.0,142,80,0,0,11,0,6,1,1,4,0,0,0,5,8,0,Normal,0
493,28.188702,tcp,http,FIN,14,18,1684,10168,1.099731,31,29,443.865784,2725.631104,3,5,2168.332231,1658.127706,199225.9331,174230.3455,255,1514459521,1515511450,255,0.000664,0.000527,0.000137,120,565,1,3924,2,0,6,2,1,2,0,0,1,3,2,0,Normal,0
27810,1.088759,tcp,http,FIN,12,18,1580,10168,26.635832,31,29,10646.98438,70568.42188,3,5,98.947276,64.016354,9565.959318,7702.100934,255,640148318,641177373,255,0.000595,0.000478,0.000117,132,565,1,3924,1,0,2,1,1,2,0,0,1,5,3,0,Normal,0
