id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
110835,0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.612,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0
35237,0.001079,udp,dns,CON,2,2,130,162,2780.352305,31,29,481927.7188,600556.125,0,0,0.01,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,4,0,2,2,1,2,0,0,0,4,4,0,Normal,0
16589,0.036827,tcp,-,FIN,122,126,7814,14990,6707.035286,31,29,1683547.375,3230673.0,30,32,0.325813,0.29052,21.84144,0.492116,255,2438278739,2443509673,255,0.000635,0.000506,0.000129,64,119,0,0,12,0,4,1,1,1,0,0,0,4,6,0,Normal,0
47574,9e-06,udp,-,INT,2,0,104,0,111111.1072,254,0,46222220.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,3,2,1,1,1,2,0,0,0,1,2,0,Normal,0
2569,0.001077,udp,dns,CON,2,2,132,164,2785.515187,31,29,490250.6875,609099.3125,0,0,0.009,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,3,0,7,2,1,2,0,0,0,20,1,0,Normal,0
7198,0.001753,udp,-,CON,4,4,528,304,3993.154682,31,29,1807187.75,1040502.0,0,0,0.459333,0.220667,0.643232,0.305009,0,0,0,0,0.0,0.0,0.0,132,76,0,0,7,0,4,1,1,4,0,0,0,5,7,0,Normal,0
17533,0.006116,tcp,ssh,FIN,32,24,3728,5474,8992.805749,31,29,4724656.5,6862001.5,7,7,0.203867,0.234696,12.72961,0.345381,255,4247239604,2097967510,255,0.000696,0.000583,0.000113,117,228,0,0,1,0,2,1,1,1,0,0,0,1,1,0,Normal,0
81830,0.744419,tcp,-,FIN,10,6,808,268,20.149943,254,252,7823.55127,2407.246582,2,1,80.244222,127.448,4199.549354,208.723969,255,3346817645,2722510170,255,0.199496,0.10717,0.092326,81,45,0,0,4,1,2,1,1,5,0,0,0,1,5,0,Normal,0
4976,0.032028,tcp,-,FIN,68,70,4014,59460,4277.507074,31,29,987885.5625,14639940.0,7,28,0.473388,0.470075,0.0,26.895754,255,3900049094,3905725101,255,0.000666,0.00053,0.000136,59,849,0,0,7,0,2,1,1,4,0,0,0,3,4,0,Normal,0
81,1.1e-05,udp,-,INT,2,0,1740,0,90909.0902,254,0,632727296.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,870,0,0,0,43,2,10,10,1,40,0,0,0,10,39,0,Normal,0
